"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"61","108 Paxton St","0.54","$278,600.00 ","Dwelling","$245,000.00 ","33 3 60",3,330900,268800,261900,315000,417100,3136,4,3
"66","109 Colston Pl","0.57","$353,400.00 ","Dwelling","$345,000.00 ","33 3 6",3,386800,348200,375500,383800,517500,2880,5,3.5
"67","109 E Preston St","0.14","$184,700.00 ","Dwelling","$260,000.00 ","23 7 7",5,134900,297300,175200,264600,316700,1632,3,2
"68","109 Paxton St","0.55","$372,900.00 ","Dwelling","$290,000.00 ","34 11 48",3,335200,376800,400800,299200,451100,2088,4,2.5
"70","109 Taylor St","0.21","$143,800.00 ","Dwelling","$47,000.00 ","23 9 15",5,142700,121700,121800,153000,22500,1392,3,2
"71","109 Tucker St","0.21","$72,700.00 ","Dwelling","$45,000.00 ","24 1 36",2,105100,112000,104700,82000,146000,1567,3,1
"72","109 W Mcdowell St","0.11","$389,300.00 ","Dwelling","$455,000.00 ","23 1 33",6,444300,462200,423100,468300,524300,2739,4,3
"73","11 Chamberlain Loop","0.084","$343,500.00 ","Twnhse/condo","$275,000.00 ","39 1 1 27",3,238200,300500,321400,359800,401000,2403,4,3
"74","11 Edmondson Ave","0.3","$288,300.00 ","Dwelling","$303,500.00 ","28 21 16",4,250600,270100,274000,321300,379400,2206,5,2
"76","11 Jordan St","0.23","$378,100.00 ","Dwelling","$378,000.00 ","22 12 3",4,393700,432100,384800,415600,507900,2136,5,3
"81","11 Tucker St","0.21","$173,500.00 ","Dwelling","$228,900.00 ","24 1 45",2,128100,127200,132000,129100,156700,1242,3,2
"83","110 Lee Ave","0.39","$668,900.00 ","Dwelling","$727,500.00 ","23 1 41",6,500400,559000,780100,780600,902000,4550,5,4
"84","110 N Randolph St","0.1342","$115,000.00 ","Dwelling","$140,000.00 ","17 1 35",5,97700,105900,115300,116300,159100,1934,3,1
"85","110 Rebel Ridge Rd","0.5","$217,800.00 ","Dwelling","$290,725.00 ","21 2 9",4,236800,217900,209800,294500,367800,1719,3,2
"86","110 W Mcdowell St","0.3","$374,200.00 ","Dwelling","$375,000.00 ","23 1 32",6,470000,443800,454800,491400,528200,3059,4,3
"87","110 White St","0.36","$433,800.00 ","Dwelling","$500,000.00 ","22 1 23",4,472000,476400,517600,558800,667700,3186,5,4
"88","111 Henry St","0.2066","$170,600.00 ","Dwelling","$189,500.00 ","24 6 4",5,155400,164400,171700,194500,260800,1860,3,2
"90","111 Rebel Ridge Rd","0.32","$194,700.00 ","Dwelling","$166,000.00 ","21 2 20",4,209100,215000,223600,174800,271700,1354,3,3
"91","111 White St","0.32","$238,400.00 ","Dwelling","$210,000.00 ","22 1 26",6,378600,352100,244200,263700,405100,2500,3,3
"92","112 Colston Pl","N/A","$366,900.00 ","Dwelling","$355,000.00 ","33 3 4",3,319900,338500,362400,391300,488500,2976,4,3
"96","112 Smith St","0.397","$101,000.00 ","Dwelling","$117,645.00 ","18 5 C",2,104500,76200,111400,125000,153700,880,3,1
"100","113 Mccormick St","0.85","$190,500.00 ","Dwelling","$185,000.00 ","40 3 3 6",3,206200,226000,195000,240000,282000,1500,3,2
"102","113 White St","N/A","$438,800.00 ","Dwelling","$425,000.00 ","22 1 25",6,435400,407600,471000,436700,560400,2874,4,3
"103","114 Lee Ave","0.19","$429,300.00 ","Dwelling","$675,000.00 ","23 1 40",6,427500,467500,480400,496800,745000,2708,4,3
"104","114 N Randolph St","0.1101","$96,500.00 ","Dwelling","$92,000.00 ","17 1 37",5,124800,90800,102200,123000,157500,1124,3,2
"105","114 Oakview Dr","N/A","$328,800.00 ","Dwelling","$150,000.00 ","28 23 8",3,327500,359800,357400,343100,452200,3331,5,3
